	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
267	9.0	0.6351449187249016	0.15977335919467697	45.095289229468015	pos	4.0	25.0	4	fmri	images_fmri/radish/radish_01b.jpg	509	1	1275.0	18157.0	1.0	radish
268	1.0	0.44660411921964216	0.12547957730616027	31.708892464594594	neg	4.0	30.0	4	fmri	images_fmri/jack/jack_01b.jpg	331	1	836.0	11949.0	1.0	jack
269	0.0	0.5049493118202912	0.19720257732690513	35.34645182742039	pos	4.0	35.0	4	fmri	images_fmri/prism/prism_01b.jpg	497	1	1242.0	17662.0	1.0	prism
270	4.0	0.5758814828376426	0.1294933594927729	40.887585281472624	pos	4.0	40.0	4	fmri	images_fmri/paperclip/paperclip_01s.jpg	446	1	1117.0	15883.0	1.0	paperclip
271	3.0	0.5878390442771181	0.16265642795532825	41.73657214367538	neg	4.0	45.0	4	fmri	images_fmri/panda/panda_01b.jpg	442	1	1106.0	15734.0	1.0	panda
272	34.0	0.5769437779136962	0.1438714679477318	6.923325334964354	shown	2.98	0.0	5	fmri	images_fmri/clipboard/clipboard_01b.jpg	151	1	356.0	5148.0	1.0	clipboard
273	45.0	0.6730189292241491	0.12848422878237886	8.076227150689789	shown	2.98	4.47	5	fmri	images_fmri/squirrel/squirrel_01b.jpg	595	1	1530.0	21619.0	1.0	squirrel
274	32.0	0.5337695630883063	0.14003439101365303	6.405234757059675	shown	2.98	8.94	5	fmri	images_fmri/tarp/tarp_01b.jpg	631	1	1629.0	22998.0	1.0	tarp
275	33.0	0.5438531711936144	0.13367365036627882	6.526238054323374	shown	2.98	13.41	5	fmri	images_fmri/icicle/icicle_01b.jpg	327	1	825.0	11790.0	1.0	icicle
276	48.0	0.6459414215624629	0.13938411278200058	7.7512970587495555	shown	2.98	17.88	5	fmri	images_fmri/scallion/scallion_01b.jpg	540	1	1373.0	19499.0	1.0	scallion
277	7.0	0.6860828072385712	0.09588129385811706	48.71187931393855	shown	2.98	22.349999999999998	5	fmri	images_fmri/bread/bread_01b.jpg	82	1	195.0	2944.0	1.0	bread
278	53.0	0.6508176601928612	0.13463098032538068	7.809811922314335	shown	2.98	26.82	5	fmri	images_fmri/sea_urchin/sea_urchin_01b.jpg	548	1	1394.0	19783.0	1.0	sea_urchin
279	54.0	0.562075443001117	0.11722127427140032	6.744905316013404	shown	2.98	31.29	5	fmri	images_fmri/skunk/skunk_01b.jpg	569	1	1460.0	20694.0	1.0	skunk
280	35.0	0.5271761505779909	0.11700820940843765	6.326113806935892	shown	2.98	35.76	5	fmri	images_fmri/candle/candle_01b.jpg	111	1	254.0	3743.0	1.0	candle
